15	4	70	3	15	3	15	1	30	2	25	2	29		20	4	20	3	15	3	20	1	30	2	15	2	20
15	4	40	3	20	3	20	1	20	2	30	2	24		25	4	35	3	25	3	25	1	25	2	20	2	26
20	4	75	3	25	3	25	1	30	2	10	2	32		25	4	55	3	35	3	30	1	45	2	40	2	38
25	4	65	3	25	3	10	1	35	2	25	2	33		30	4	60	3	40	3	35	1	55	2	45	2	44
20	4	60	3	35	3	35	1	45	2	35	2	37		35	4	70	3	30	3	10	1	50	2	35	2	41
25	4	30	3	30	3	20	1	30	2	40	2	29		15	4	75	3	10	3	70	1	35	2	30	2	34
15	4	75	3	30	3	55	1	65	2	15	2	39		65	4	80	3	30	3	75	1	40	2	25	2	53
45	4	35	3	40	3	30	1	40	2	35	2	39		70	4	85	3	45	3	15	1	45	2	40	2	57
55	4	80	3	20	3	75	1	50	2	75	2	56		80	4	60	3	25	3	30	1	45	2	40	2	52
60	4	40	3	35	3	25	1	40	2	85	2	49		65	4	40	3	20	3	55	1	35	2	35	2	42
30	4	60	3	30	3	30	1	40	2	40	2	39		45	4	60	3	30	3	40	1	40	2	30	2	42
35	4	55	3	25	3	35	1	45	2	35	2	38		50	4	55	3	35	3	45	1	45	2	35	2	45
